input_window,feature_variant,factor_group,fold_count,validation_top5_excess_return_mean,validation_top5_excess_return_min_mean,validation_top5_excess_positive_rate_mean,validation_top10_excess_return_mean,validation_rank_ic_mean,validation_top5_precision_mean,features_mean,best_iteration_mean,validation_top5_excess_return_std,validation_top5_excess_return_min_std,validation_top5_excess_positive_rate_std,validation_top10_excess_return_std,validation_rank_ic_std,validation_top5_precision_std,worst_fold
1,xsec,reversal,4,0.029750434655706464,-0.0007359620038065865,0.875,0.020017956658638772,0.028647441675926283,0.037500000000000006,40.0,10.0,0.02051010999513362,0.004605421735967416,0.14433756729740643,0.01170329701275324,0.050815120247180975,0.04787135538781691,0.008770976073204415
1,xsec,momentum,4,0.01931487597334066,0.00022880567300793118,0.75,0.007490048095214057,0.07043741739573524,0.0125,57.0,14.0,0.012712869760710238,0.0061679855594753644,0.3535533905932738,0.010920873515362469,0.05722927126105242,0.025,0.0020193836915799097
1,xsec,all_window,4,0.017837161569458963,-0.005533979589086802,0.8125,0.00789641502496064,0.04544246744220708,0.037500000000000006,127.0,23.25,0.008547759060148881,0.015021611079799947,0.125,0.004673321813193747,0.03838042895836811,0.04787135538781691,0.007675061742471977
4,xsec,all_window,4,0.03023231865094143,-0.0010441119916589038,0.875,0.017732366405552362,0.0638169546896834,0.05,171.0,62.0,0.018406713448960478,0.011886239945128427,0.14433756729740643,0.0055616098363741005,0.05233963580246947,0.040824829046386304,0.018217354870497124
4,xsec,reversal,4,0.022026464053523646,-0.008468302087078569,0.75,0.014927506514085814,0.03400755820420878,0.05,37.0,65.5,0.01667015329566846,0.006499158667809725,0.0,0.015668436881284848,0.09114869720071303,0.07071067811865477,0.004596023386541978
4,xsec,momentum,4,0.012904670072147689,-0.009441241222274879,0.75,0.007708187327524988,0.01823709378730365,0.0,76.0,31.25,0.009750480861852318,0.0012492059318964547,0.0,0.004789864282393871,0.05478913090762285,0.0,0.0031496274817497277
12,xsec,all_window,4,0.026407950998519805,-0.002762090937978627,0.6875,0.016793312522132835,0.10322955557842817,0.025,113.0,55.25,0.01583934162493677,0.01324573537251288,0.23935677693908453,0.01086172901387131,0.07249609387461178,0.05,0.011274873154100836
12,xsec,reversal,4,0.02295278030261339,-0.009546913323479705,0.6875,0.011863967177543015,0.057385616857556346,0.037500000000000006,34.0,32.0,0.007156820602131861,0.013284604830491976,0.23935677693908453,0.0056521172250705905,0.0986213996035427,0.04787135538781691,0.014597245314356163
12,xsec,momentum,4,0.01937544028815988,-0.005027015046042223,0.75,0.01041416542694729,0.10363642495938405,0.0125,54.0,7.0,0.007769232127545163,0.0061333865548879865,0.0,0.006906498237096404,0.09572068709194018,0.025,0.01326730180696168
